"Model,""Yıl"",""KM"",""Renk"",""Şehir"",""Fiyat"""
"1.4 XR	,""2000	"",""160.000	"",""Yeşil	"",""İstanbul"",""37.750 """
"1.4 X-Design	,""2006	"",""176.000	"",""Beyaz	"",""İzmir"",""42.900 """
"1.4 HDi X-Line	,""2003	"",""190.800	"",""Beyaz	"",""Batman"",""37.900 """
"1.4 XR	,""2000	"",""230.000	"",""Beyaz	"",""Gaziantep"",""38.500 """
"1.4 XT	,""2004	"",""252.000	"",""Gri	"",""İstanbul"",""38.000 """
"1.4 XR	,""2000	"",""275.000	"",""Gümüş Gri	"",""Ankara"",""36.900 """
"1.4 Fever	,""2006	"",""78.000	"",""Beyaz	"",""İstanbul"",""69.750 """
"1.4 HDi Feline	,""2007	"",""240.000	"",""Beyaz	"",""İstanbul"",""42.500 """
"1.4 XT	,""2000	"",""260	"",""Beyaz	"",""Adana"",""36.500 """
"1.4 HDi X-Line	,""2005	"",""209.000	"",""Mavi	"",""Mersin"",""42.500 """
"1.4 HDi Comfort	,""2008	"",""320	"",""Beyaz	"",""Konya"",""32.000 """
"1.4 HDi Fever	,""2007	"",""201.700	"",""Beyaz	"",""Balıkesir"",""46.500 """
"1.6 XT	,""2001	"",""257.000	"",""Beyaz	"",""Adana"",""44.750 """
"1.4 HDi X-Design	,""2005	"",""146.000	"",""Beyaz	"",""Ankara"",""44.000 """
"1.4 X-Design	,""2005	"",""181.000	"",""Gri	"",""Antalya"",""41.000 """
"1.4 XR	,""2000	"",""214.000	"",""Turkuaz	"",""Ankara"",""40.000 """
"1.6 HDi CC	,""2007	"",""268.511	"",""Beyaz	"",""Bursa"",""42.000 """
"1.4 Fever	,""2006	"",""171.500	"",""Siyah	"",""Balıkesir"",""51.750 """
"1.4 X-Design	,""2006	"",""140.000	"",""Beyaz	"",""İstanbul"",""47.000 """
"1.4 X-Line	,""2004	"",""136.000	"",""Gümüş Gri	"",""İstanbul"",""44.500 """
"1.4 HDi X-Line	,""2004	"",""235.000	"",""Kırmızı	"",""Tekirdağ"",""46.000 """
"1.4 HDi X-Design	,""2006	"",""183.040	"",""Kırmızı	"",""Ankara"",""55.000 """
"1.6 XS	,""2000	"",""215.000	"",""Kırmızı	"",""İstanbul"",""39.750 """
"1.4 HDi X-Design	,""2006	"",""236.000	"",""Gümüş Gri	"",""Gaziantep"",""41.000 """
"1.4 XT	,""2005	"",""159.000	"",""Gümüş Gri	"",""Konya"",""37.500 """
"1.4 XT	,""2003	"",""188.000	"",""Siyah	"",""Mersin"",""46.000 """
"1.4 X-Line	,""2004	"",""255.000	"",""Gümüş Gri	"",""Nevşehir"",""35.500 """
"1.4 X-Line	,""2005	"",""233.000	"",""Kırmızı	"",""Bursa"",""39.750 """
"1.4 XR	,""2000	"",""209.000	"",""Kırmızı	"",""İzmir"",""38.500 """
"1.4 X-Design	,""2005	"",""200.000	"",""Beyaz	"",""Amasya"",""42.000 """
"1.6 XT	,""2002	"",""225.000	"",""Gri	"",""Gaziantep"",""40.000 """
"1.4 HDi X-Line	,""2003	"",""251.000	"",""Beyaz	"",""İzmir"",""36.000 """
"1.4 HDi X-Line	,""2003	"",""209.000	"",""Beyaz	"",""Ankara"",""36.400 """
"1.6 XT	,""2000	"",""204.000	"",""Gümüş Gri	"",""Kahramanmaraş"",""32.000 """
"1.6 XT	,""2001	"",""136.750	"",""Kırmızı	"",""İstanbul"",""48.750 """
"1.4 Comfort	,""2009	"",""179.900	"",""Beyaz	"",""İzmir"",""39.500 """
"1.4 X-Line	,""2003	"",""175.000	"",""Bordo	"",""İstanbul"",""40.000 """
"1.4 HDi X-Line	,""2005	"",""245.000	"",""Gri	"",""Malatya"",""35.750 """
"1.4 X-Line	,""2005	"",""224.000	"",""Gümüş Gri	"",""Kırşehir"",""37.000 """
"1.4 XT	,""2004	"",""218.000	"",""Siyah	"",""İstanbul"",""45.000 """
"1.4 Comfort	,""2008	"",""156.000	"",""Gri	"",""İstanbul"",""48.000 """
"1.4 Comfort	,""2009	"",""150.000	"",""Mavi	"",""Malatya"",""46.000 """
"1.4 X-Line	,""2005	"",""160.000	"",""Kırmızı	"",""İstanbul"",""57.000 """
"1.4 HDi Feline	,""2006	"",""320.000	"",""Mavi	"",""Bursa"",""41.000 """
"2.0 GTI	,""1999	"",""23.000	"",""Kırmızı	"",""İstanbul"",""39.000 """
"1.4 X-Design	,""2005	"",""148.000	"",""Lacivert	"",""İstanbul"",""48.500 """
"1.4 XT	,""2001	"",""129.000	"",""Beyaz	"",""Bursa"",""35.950 """
"1.4 X-Design	,""2005	"",""162.000	"",""Gümüş Gri	"",""Kocaeli"",""39.850 """
"1.4 HDi Desire	,""2004	"",""205.000	"",""Gümüş Gri	"",""Denizli"",""41.000 """
"1.4 HDi X-Line	,""2005	"",""313.650	"",""Gümüş Gri	"",""Çanakkale"",""37.750 """
"1.4 HDi X-Design	,""2005	"",""256.000	"",""Gümüş Gri	"",""Edirne"",""38.900 """
"1.4 X-Line	,""2005	"",""78.000	"",""Gri	"",""Hatay"",""55.000 """
"1.4 HDi Generation	,""2009	"",""270.000	"",""Beyaz	"",""Gaziantep"",""42.500 """
"1.4 HDi Comfort	,""2011	"",""106.000	"",""Füme	"",""İstanbul"",""48.500 """
"1.4 XT	,""2004	"",""165.000	"",""Gümüş Gri	"",""İstanbul"",""40.800 """
"1.6 XT	,""2001	"",""235.000	"",""Lacivert	"",""Amasya"",""38.500 """
"1.4 Comfort	,""2010	"",""68.000	"",""Siyah	"",""Ankara"",""51.500 """
"1.4 X-Design	,""2006	"",""225.000	"",""Siyah	"",""Kayseri"",""36.250 """
"1.4 X-Design	,""2003	"",""293.000	"",""Bordo	"",""Gaziantep"",""33.750 """
"1.4 HDi X-Line	,""2005	"",""227.000	"",""Beyaz	"",""Antalya"",""37.500 """
"1.4 XR	,""2001	"",""145.000	"",""Gri	"",""İstanbul"",""46.250 """
"1.4 HDi X-Line	,""2005	"",""290.000	"",""Beyaz	"",""Bursa"",""35.000 """
"1.4 HDi Fever	,""2007	"",""220.000	"",""Gümüş Gri	"",""Adana"",""47.500 """
"1.4 X-Design	,""2006	"",""155.000	"",""Gri	"",""Ankara"",""55.500 """
"1.4 Comfort	,""2009	"",""140.000	"",""Siyah	"",""Balıkesir"",""51.500 """
"1.4 X-Line	,""2004	"",""129.500	"",""Bordo	"",""Erzurum"",""44.750 """
"1.4 XR	,""2000	"",""170.000	"",""Kırmızı	"",""Ankara"",""47.250 """
"1.4 X-Line	,""2004	"",""261.000	"",""Gümüş Gri	"",""Konya"",""46.500 """
"1.4 XR	,""1999	"",""183.000	"",""Turuncu	"",""Çorum"",""41.750 """
"1.4 Panoramic	,""2005	"",""177.000	"",""Gümüş Gri	"",""İstanbul"",""55.750 """
"1.6 Roland Garros	,""2000	"",""228.000	"",""Yeşil	"",""Malatya"",""40.000 """
"1.4 XT	,""2003	"",""150.000	"",""Siyah	"",""İstanbul"",""49.500 """
"1.4 HDi Comfort	,""2010	"",""179.000	"",""Mavi	"",""Kocaeli"",""46.900 """
"1.4 Comfort	,""2009	"",""147.000	"",""Kırmızı	"",""Diyarbakır"",""34.500 """
"1.4 XR	,""1999	"",""244.000	"",""Mavi	"",""İstanbul"",""41.500 """
"1.4 XR	,""2000	"",""185.125	"",""Yeşil	"",""İstanbul"",""36.000 """
"1.6 XT	,""2001	"",""270.000	"",""Kırmızı	"",""Konya"",""40.500 """
"2.0 CC	,""2003	"",""150.000	"",""Gri	"",""İzmir"",""49.850 """
"1.4 XR	,""1999	"",""240.000	"",""Mavi	"",""Sakarya"",""36.500 """
"1.4 HDi Sporty	,""2005	"",""244.000	"",""Beyaz	"",""Samsun"",""36.000 """
"1.4 HDi X-Line	,""2004	"",""320.000	"",""Mavi	"",""İstanbul"",""29.300 """
"1.6 Roland Garros	,""2002	"",""190.000	"",""Yeşil	"",""Gaziantep"",""42.000 """
"1.4 XR	,""2000	"",""200.000	"",""Beyaz	"",""İstanbul"",""43.000 """
"1.6 XT	,""2000	"",""229	"",""Kırmızı	"",""İstanbul"",""43.500 """
"1.4 Color Line	,""2002	"",""173	"",""Kırmızı	"",""İstanbul"",""44.000 """
"1.4 X-Line	,""2003	"",""159.000	"",""Gümüş Gri	"",""Ankara"",""52.500 """
"1.4 XR	,""2001	"",""240.000	"",""Gri	"",""Giresun"",""39.000 """
"1.4 X-Line	,""2005	"",""129.000	"",""Siyah	"",""İstanbul"",""51.250 """
"1.6 XS	,""2000	"",""207.000	"",""Mavi	"",""Muğla"",""33.250 """
"1.4 XR	,""2002	"",""169.300	"",""Lacivert	"",""İstanbul"",""38.000 """
"1.4 HDi X-Design	,""2006	"",""156.000	"",""Beyaz	"",""Gaziantep"",""55.000 """
"1.4 XR	,""2000	"",""173.000	"",""Mavi	"",""Adana"",""45.250 """
"1.6 XT	,""2001	"",""163.000	"",""Siyah	"",""Kocaeli"",""56.000 """
"1.6 XT	,""2001	"",""270	"",""Siyah	"",""Bursa"",""39.500 """
"1.4 XR	,""1999	"",""203.000	"",""Gümüş Gri	"",""Kayseri"",""37.500 """
"1.6 1.6 CC	,""2003	"",""142.000	"",""Mavi	"",""Bursa"",""58.500 """
"1.4 HDi X-Line	,""2003	"",""273.000	"",""Gümüş Gri	"",""İzmir"",""30.500 """
"1.4 X-Line	,""2004	"",""226.000	"",""Turkuaz	"",""Erzurum"",""45.500 """
"1.4 XT	,""2004	"",""169.000	"",""Lacivert	"",""İstanbul"",""56.950 """
"1.4 Premium	,""2004	"",""150.000	"",""Sarı	"",""Bartın"",""52.500 """
"1.4 X-Line	,""2004	"",""245.000	"",""Mavi	"",""Bursa"",""38.750 """
"1.4 HDi Fever	,""2008	"",""376.500	"",""Gümüş Gri	"",""Ankara"",""38.750 """
"1.4 Comfort	,""2008	"",""75.000	"",""Gri	"",""İstanbul"",""66.500 """
"1.4 HDi Feline	,""2006	"",""250.000	"",""Gri	"",""Kilis"",""37.500 """
"1.4 Fever	,""2007	"",""176.000	"",""Siyah	"",""Kahramanmaraş"",""43.000 """
"1.4 XT	,""2003	"",""260.000	"",""Mavi	"",""Şanlıurfa"",""39.000 """
"1.6 XS	,""2000	"",""290.000	"",""Siyah	"",""Ankara"",""28.500 """
"1.4 Feline	,""2006	"",""70.000	"",""Gri	"",""İstanbul"",""63.000 """
"1.4 Feline	,""2006	"",""178.000	"",""Mavi	"",""İstanbul"",""53.800 """
"1.6 GTI	,""2002	"",""198.000	"",""Siyah	"",""Kocaeli"",""35.500 """
"1.4 XT	,""2003	"",""40.000	"",""Mavi	"",""İzmir"",""63.000 """
"1.4 XR	,""2000	"",""206.000	"",""Gümüş Gri	"",""Antalya"",""41.000 """
"1.4 X-Line	,""2004	"",""173.000	"",""Beyaz	"",""Kocaeli"",""48.250 """
"1.4 HDi Fever	,""2007	"",""238.000	"",""Beyaz	"",""Ankara"",""35.000 """
"1.4 X-Line	,""2005	"",""163.000	"",""Gri	"",""Kocaeli"",""44.950 """
"1.4 HDi X-Design	,""2006	"",""295.000	"",""Siyah	"",""Antalya"",""35.750 """
"1.6 XT	,""2000	"",""193.000	"",""Kırmızı	"",""Isparta"",""45.000 """
"1.4 XR	,""2000	"",""58.000	"",""Mavi	"",""İstanbul"",""51.000 """
"1.4 XR	,""2000	"",""167.000	"",""Mavi	"",""İzmir"",""45.000 """
"1.4 HDi Look	,""2004	"",""319.000	"",""Gümüş Gri	"",""İstanbul"",""34.500 """
"1.6 XS	,""2000	"",""239.000	"",""Gri	"",""Eskişehir"",""36.500 """
"1.6 XS	,""2000	"",""170.000	"",""Siyah	"",""İstanbul"",""40.000 """
"1.6 HDi CC	,""2006	"",""295.000	"",""Beyaz	"",""Antalya"",""21.000 """
"1.6 XT	,""2002	"",""175.000	"",""Mavi	"",""Eskişehir"",""46.750 """
"1.4 X-Line	,""2005	"",""232.000	"",""Gümüş Gri	"",""İstanbul"",""46.500 """
"1.4 XT	,""2005	"",""204.000	"",""Kırmızı	"",""Osmaniye"",""52.500 """
"1.4 HDi Fever	,""2007	"",""190.000	"",""Gümüş Gri	"",""İstanbul"",""43.750 """
"1.4 X-Line	,""2004	"",""213.200	"",""Bordo	"",""Sakarya"",""43.500 """
"1.4 XT	,""2003	"",""164.000	"",""Gri	"",""Ankara"",""48.750 """
"2.0 GTI	,""2001	"",""147.000	"",""Siyah	"",""Ankara"",""41.000 """
"1.4 XR	,""2001	"",""179.000	"",""Bordo	"",""Ankara"",""55.000 """
"1.6 XS	,""2000	"",""197.000	"",""Beyaz	"",""Gaziantep"",""35.500 """
"2.0 GTI	,""2000	"",""212.000	"",""Gri	"",""Siirt"",""42.000 """
"1.4 X-Line	,""2003	"",""196.000	"",""Gri	"",""Ankara"",""43.500 """
"2.0 GTI	,""2001	"",""242.000	"",""Kırmızı	"",""Konya"",""39.000 """
"1.4 XR	,""2000	"",""230.000	"",""Beyaz	"",""Kayseri"",""39.000 """
"1.6 XT	,""2002	"",""218.000	"",""Gri	"",""Erzurum"",""47.500 """
"1.4 X-Design	,""2006	"",""199.750	"",""Siyah	"",""İzmir"",""50.250 """
"1.6 Sport	,""1999	"",""210.000	"",""Bordo	"",""Kocaeli"",""35.000 """
"1.4 HDi X-Line	,""2004	"",""156.000	"",""Gri	"",""Osmaniye"",""42.750 """
"1.4 HDi Desire	,""2004	"",""346.000	"",""Kırmızı	"",""İstanbul"",""38.750 """
"1.6 1.6 CC	,""2006	"",""192.000	"",""Gümüş Gri	"",""Mersin"",""47.000 """
"1.4 XR	,""1999	"",""220.000	"",""Gri	"",""Denizli"",""35.000 """
"1.4 HDi X-Design	,""2006	"",""187	"",""Beyaz	"",""Erzurum"",""44.500 """
"1.4 X-Line	,""2003	"",""155.000	"",""Gri	"",""İstanbul"",""38.250 """
"1.4 XR	,""1999	"",""238.000	"",""Bordo	"",""Ağrı"",""32.500 """
"1.4 Feline	,""2006	"",""165.000	"",""Beyaz	"",""Gaziantep"",""49.000 """
"1.4 HDi Desire	,""2004	"",""180.000	"",""Gri	"",""Manisa"",""45.000 """
"1.4 XR	,""2000	"",""301.000	"",""Lacivert	"",""Antalya"",""45.400 """
"1.4 HDi X-Design	,""2006	"",""235.000	"",""Gümüş Gri	"",""İzmir"",""31.250 """
"1.4 X-Design	,""2005	"",""195.500	"",""Gümüş Gri	"",""Ankara"",""43.250 """
"1.4 X-Line	,""2004	"",""191.000	"",""Gri	"",""Muğla"",""43.500 """
"1.4 HDi X-Line	,""2005	"",""217.000	"",""Siyah	"",""Kocaeli"",""35.500 """
"1.4 Comfort	,""2010	"",""49.000	"",""Gri	"",""Trabzon"",""65.000 """
"1.4 XR	,""2000	"",""220.000	"",""Beyaz	"",""İzmir"",""42.500 """
"1.4 HDi X-Design	,""2004	"",""280.000	"",""Mavi	"",""Adana"",""34.750 """
"2.0 GTI	,""1999	"",""209.000	"",""Kırmızı	"",""Bursa"",""38.500 """
"1.4 Desire	,""2004	"",""180.000	"",""Gri	"",""Ankara"",""52.000 """
"1.4 XR	,""2001	"",""169.000	"",""Beyaz	"",""Şanlıurfa"",""47.750 """
"1.4 Comfort	,""2007	"",""167.000	"",""Bej	"",""Batman"",""49.400 """
"1.4 X-Line	,""2005	"",""176.000	"",""Kırmızı	"",""Batman"",""44.000 """
"1.4 HDi X-Design	,""2008	"",""207.654	"",""Gri	"",""Antalya"",""41.000 """
"1.4 HDi Comfort	,""2008	"",""229.000	"",""Beyaz	"",""İstanbul"",""28.500 """
"1.4 Color Line	,""2001	"",""260.000	"",""Mavi	"",""Antalya"",""39.800 """
"1.6 XT	,""2000	"",""288.000	"",""Beyaz	"",""Gaziantep"",""39.500 """
"1.4 HDi X-Line	,""2006	"",""270.000	"",""Siyah	"",""Antalya"",""32.900 """
"1.4 X-Design	,""2005	"",""197.000	"",""Siyah	"",""İstanbul"",""47.000 """
"1.4 XT	,""2005	"",""166.123	"",""Gümüş Gri	"",""Ordu"",""53.500 """
"1.4 X-Design	,""2006	"",""140.000	"",""Gümüş Gri	"",""Tekirdağ"",""46.500 """
"1.6 XT	,""2001	"",""200.000	"",""Mavi	"",""Edirne"",""44.500 """
"1.4 X-Design	,""2006	"",""167.000	"",""Gümüş Gri	"",""Eskişehir"",""49.500 """
"1.4 HDi X-Line	,""2007	"",""270.000	"",""Gümüş Gri	"",""İstanbul"",""45.000 """
"1.4 XR	,""2001	"",""158.000	"",""Siyah	"",""Samsun"",""37.500 """
"1.4 HDi Comfort	,""2011	"",""217.000	"",""Gri	"",""Ankara"",""48.750 """
"1.6 XS	,""2000	"",""269.000	"",""Beyaz	"",""Kayseri"",""62.500 """
"1.4 XR	,""2000	"",""290.000	"",""Bordo	"",""Tekirdağ"",""33.000 """
"1.4 Comfort	,""2009	"",""110.000	"",""Gri	"",""Batman"",""52.000 """
"1.4 Comfort	,""2008	"",""116.000	"",""Siyah	"",""İstanbul"",""46.500 """
"1.6 1.6 CC	,""2004	"",""223.000	"",""Yeşil	"",""İstanbul"",""62.500 """
"1.4 XR	,""2000	"",""206.000	"",""Gri	"",""Ankara"",""46.500 """
"1.4 HDi Comfort	,""2010	"",""245.000	"",""Beyaz	"",""Kocaeli"",""54.000 """
"1.6 XT	,""2001	"",""227.000	"",""Yeşil	"",""İzmir"",""37.000 """
"1.6 XT	,""2002	"",""155.000	"",""Siyah	"",""Mersin"",""52.000 """
"1.6 1.6 CC	,""2003	"",""87.000	"",""Gri	"",""İstanbul"",""60.000 """
"1.4 HDi X-Design	,""2006	"",""177.000	"",""Siyah	"",""İstanbul"",""38.500 """
"1.4 XR	,""2002	"",""117.000	"",""Kırmızı	"",""İstanbul"",""55.000 """
"1.4 XR	,""2000	"",""241.000	"",""Yeşil	"",""Siirt"",""38.250 """
"1.4 HDi X-Design	,""2006	"",""193.000	"",""Beyaz	"",""Antalya"",""42.750 """
"1.4 HDi Comfort	,""2010	"",""205.000	"",""Gri	"",""Denizli"",""43.500 """
"1.6 1.6 CC	,""2005	"",""233.000	"",""Gri	"",""İstanbul"",""51.000 """
"1.4 X-Design	,""2005	"",""173.000	"",""Gri	"",""Mersin"",""38.500 """
"1.4 HDi Feline	,""2005	"",""174.277	"",""Beyaz	"",""Ankara"",""43.000 """
"1.4 HDi Feline	,""2006	"",""207.905	"",""Gri	"",""İstanbul"",""38.900 """
"1.6 XT	,""2000	"",""238.000	"",""Kırmızı	"",""Balıkesir"",""32.500 """
"1.6 Quicksilver	,""2004	"",""230.000	"",""Gri	"",""Düzce"",""35.500 """
"1.4 XR	,""2001	"",""214	"",""Kırmızı	"",""Eskişehir"",""43.000 """
"1.4 HDi X-Line	,""2004	"",""225.000	"",""Gümüş Gri	"",""İstanbul"",""43.900 """
"1.4 HDi X-Line	,""2007	"",""251.000	"",""Beyaz	"",""İstanbul"",""37.500 """
"1.6 XT	,""2001	"",""226	"",""Mavi	"",""Kocaeli"",""43.000 """
"2.0 GTI	,""2000	"",""245.000	"",""Kırmızı	"",""İstanbul"",""45.000 """
"1.4 HDi X-Design	,""2006	"",""265.000	"",""Beyaz	"",""Osmaniye"",""38.000 """
"1.4 XT	,""2005	"",""130.000	"",""Siyah	"",""Ankara"",""57.000 """
"1.4 X-Line	,""2004	"",""111.500	"",""Kırmızı	"",""Ankara"",""51.250 """
"1.4 X-Design	,""2006	"",""150.000	"",""Gümüş Gri	"",""Adana"",""48.500 """
"1.4 Panoramic	,""2005	"",""180.000	"",""Siyah	"",""İstanbul"",""54.750 """
"1.4 HDi X-Design	,""2006	"",""174.500	"",""Siyah	"",""İstanbul"",""39.500 """
"1.4 XR	,""2003	"",""270.000	"",""Gri	"",""İstanbul"",""45.000 """
"1.4 XR	,""2001	"",""248.000	"",""Lacivert	"",""Kocaeli"",""38.750 """
"1.4 XR	,""2001	"",""235.000	"",""Kırmızı	"",""Gaziantep"",""32.750 """
"1.4 Comfort	,""2007	"",""94.000	"",""Beyaz	"",""Ankara"",""55.000 """
"1.6 XT	,""2001	"",""200.000	"",""Turuncu	"",""Tekirdağ"",""46.500 """
"1.4 XR	,""2000	"",""252.000	"",""Gri	"",""Şanlıurfa"",""40.000 """
"1.4 XT	,""2005	"",""113.300	"",""Gri	"",""Balıkesir"",""43.000 """
"1.4 Comfort	,""2000	"",""231.000	"",""Füme	"",""İstanbul"",""36.750 """
"1.6 XT	,""2000	"",""195.000	"",""Mavi	"",""Ankara"",""57.750 """
"1.4 HDi X-Line	,""2004	"",""198.000	"",""Kırmızı	"",""İstanbul"",""45.000 """
