"Model,""Yıl"",""KM"",""Renk"",""Şehir"",""Fiyat"""
"1.4 X-Design	,""2006	"",""119.000	"",""Şampanya	"",""İstanbul"",""57.900 """
"1.4 HDi Fever	,""2007	"",""202.000	"",""Kırmızı	"",""İstanbul"",""42.500 """
"1.6 1.6 CC	,""2003	"",""212.500	"",""Kırmızı	"",""Karabük"",""49.900 """
"1.4 Color Line	,""2001	"",""215.000	"",""Kırmızı	"",""Yalova"",""40.000 """
"1.4 XR	,""2000	"",""189.493	"",""Gümüş Gri	"",""Malatya"",""39.500 """
"1.4 X-Design	,""2006	"",""182.000	"",""Gri	"",""Muğla"",""45.000 """
"1.4 HDi Fever	,""2007	"",""202.000	"",""Kırmızı	"",""İstanbul"",""36.000 """
"1.4 XR	,""2000	"",""139.000	"",""Gümüş Gri	"",""Ankara"",""48.000 """
"1.4 HDi X-Design	,""2004	"",""250.000	"",""Gri	"",""İstanbul"",""39.750 """
"1.4 HDi X-Line	,""2004	"",""181.750	"",""Gri	"",""Adana"",""36.500 """
"1.4 Panoramic	,""2007	"",""183.000	"",""Beyaz	"",""Bingöl"",""37.500 """
"1.4 Comfort	,""2007	"",""146.000	"",""Bej	"",""İstanbul"",""40.750 """
"1.4 HDi X-Line	,""2004	"",""265.000	"",""Beyaz	"",""Samsun"",""43.500 """
"1.4 X-Line	,""2003	"",""188.000	"",""Gümüş Gri	"",""Kırıkkale"",""36.000 """
"1.4 Fever	,""2007	"",""151.700	"",""Siyah	"",""İzmir"",""48.500 """
"1.4 X-Design	,""2006	"",""97.500	"",""Kırmızı	"",""İstanbul"",""49.500 """
"1.4 HDi X-Design	,""2006	"",""225.000	"",""Gümüş Gri	"",""Kilis"",""42.750 """
"1.4 HDi X-Design	,""2005	"",""127.000	"",""Beyaz	"",""İstanbul"",""44.250 """
"1.4 HDi X-Design	,""2006	"",""184	"",""Beyaz	"",""Eskişehir"",""53.000 """
"1.4 HDi Fever	,""2007	"",""150.000	"",""Gümüş Gri	"",""Şanlıurfa"",""44.500 """
"1.6 Roland Garros	,""2000	"",""270.000	"",""Yeşil	"",""Denizli"",""34.750 """
"1.4 Comfort	,""2008	"",""258.000	"",""Beyaz	"",""Ankara"",""55.000 """
"1.4 HDi X-Line	,""2004	"",""206.000	"",""Gümüş Gri	"",""Erzurum"",""36.000 """
"1.4 HDi X-Line	,""2004	"",""194.000	"",""Beyaz	"",""İstanbul"",""39.000 """
"1.6 1.6 CC	,""2001	"",""217.000	"",""Yeşil	"",""Ankara"",""42.000 """
"1.4 X-Line	,""2005	"",""105.800	"",""Siyah	"",""Hatay"",""54.000 """
"1.6 1.6 CC	,""2003	"",""162.000	"",""Gümüş Gri	"",""İstanbul"",""46.500 """
"1.6 1.6 CC	,""2004	"",""270.000	"",""Yeşil	"",""Zonguldak"",""55.250 """
"1.6 XT	,""2000	"",""248.000	"",""Gümüş Gri	"",""Adana"",""51.000 """
"1.4 X-Line	,""2003	"",""147.000	"",""Mavi	"",""İstanbul"",""45.800 """
"1.4 X-Design	,""2006	"",""137.000	"",""Siyah	"",""İstanbul"",""42.000 """
"1.4 XT	,""2004	"",""235.000	"",""Siyah	"",""Erzurum"",""39.900 """
"2.0 GTI	,""2000	"",""199.200	"",""Beyaz	"",""Diyarbakır"",""37.500 """
"1.6 Executive	,""2008	"",""280.000	"",""Gri	"",""İstanbul"",""55.000 """
"1.4 HDi X-Design	,""2006	"",""225.000	"",""Beyaz	"",""İzmir"",""38.000 """
"1.4 Comfort	,""2007	"",""247.000	"",""Gümüş Gri	"",""Kayseri"",""40.000 """
"1.4 HDi X-Line	,""2005	"",""180.000	"",""Kırmızı	"",""Iğdır"",""42.500 """
"1.4 XT	,""2005	"",""125.000	"",""Gri	"",""Uşak"",""51.000 """
"1.4 X-Line	,""2003	"",""137.000	"",""Gri	"",""İstanbul"",""46.750 """
"1.4 HDi X-Line	,""2004	"",""283.000	"",""Beyaz	"",""İzmir"",""36.250 """
"1.4 X-Design	,""2006	"",""115.000	"",""Gümüş Gri	"",""İstanbul"",""50.500 """
"1.4 X-Design	,""2006	"",""99.200	"",""Siyah	"",""İstanbul"",""61.500 """
"1.4 Color Line	,""2002	"",""160.000	"",""Kırmızı	"",""İstanbul"",""37.000 """
"1.4 Comfort	,""2009	"",""60.000	"",""Gri	"",""Eskişehir"",""59.000 """
"1.4 XR	,""2000	"",""263.000	"",""Kırmızı	"",""Çorum"",""33.500 """
"1.4 X-Line	,""2007	"",""201.000	"",""Mavi	"",""Yozgat"",""43.000 """
"1.4 XT	,""2005	"",""154.000	"",""Gri	"",""İstanbul"",""42.750 """
"1.4 HDi X-Line	,""2006	"",""236.000	"",""Beyaz	"",""Kütahya"",""39.999 """
"2.0 GTI	,""2000	"",""268.000	"",""Gri	"",""Adıyaman"",""55.000 """
"1.4 XT	,""2003	"",""225.000	"",""Lacivert	"",""İstanbul"",""41.500 """
"1.4 Comfort	,""2010	"",""240.000	"",""Beyaz	"",""İzmir"",""47.500 """
"1.4 Color Line	,""2002	"",""249.000	"",""Kırmızı	"",""Mersin"",""38.000 """
"1.4 Comfort	,""2008	"",""235.000	"",""Siyah	"",""Ankara"",""45.500 """
"1.6 XT	,""2001	"",""193.000	"",""Gri	"",""İstanbul"",""38.000 """
"1.4 XR	,""2001	"",""207.000	"",""Siyah	"",""Kocaeli"",""36.000 """
"1.4 Executive	,""2008	"",""128.000	"",""Siyah	"",""Balıkesir"",""45.750 """
"1.4 Comfort	,""2008	"",""207.000	"",""Bordo	"",""Düzce"",""35.500 """
"1.4 X-Design	,""2006	"",""152.000	"",""Gümüş Gri	"",""İzmir"",""35.000 """
"1.6 XT	,""2003	"",""174.067	"",""Yeşil	"",""Kırklareli"",""38.500 """
"1.4 Fever	,""2007	"",""134.000	"",""Gri	"",""Bilecik"",""55.000 """
"1.6 XT	,""2002	"",""256.000	"",""Gri	"",""Antalya"",""49.000 """
"1.4 HDi X-Line	,""2004	"",""208.756	"",""Beyaz	"",""Bursa"",""41.500 """
"1.6 1.6 CC	,""2001	"",""290.000	"",""Mavi	"",""Ankara"",""53.500 """
"1.4 XR	,""2000	"",""212.000	"",""Kırmızı	"",""Ankara"",""35.000 """
"1.6 XT	,""2001	"",""257.000	"",""Mavi	"",""Ordu"",""41.000 """
"1.4 HDi Fever	,""2006	"",""219.800	"",""Kırmızı	"",""İstanbul"",""48.750 """
"1.4 XT	,""2005	"",""152.000	"",""Kırmızı	"",""İstanbul"",""45.000 """
"1.4 HDi Feline	,""2005	"",""295.000	"",""Beyaz	"",""İstanbul"",""28.500 """
"1.4 X-Design	,""2004	"",""224.000	"",""Gri	"",""Rize"",""37.500 """
"1.6 1.6 CC	,""2001	"",""255.000	"",""Mavi	"",""Samsun"",""52.500 """
"2.0 GTI	,""2000	"",""227.000	"",""Kırmızı	"",""Nevşehir"",""38.500 """
"1.4 HDi X-Line	,""2004	"",""250.000	"",""Gümüş Gri	"",""Bursa"",""37.500 """
"1.4 Comfort	,""2009	"",""45.517	"",""Siyah	"",""İzmir"",""60.000 """
"1.4 XT	,""2005	"",""198.000	"",""Siyah	"",""İstanbul"",""50.000 """
"1.4 HDi X-Design	,""2006	"",""230.000	"",""Kırmızı	"",""İstanbul"",""39.999 """
"1.4 HDi X-Line	,""2003	"",""268.000	"",""Beyaz	"",""Samsun"",""41.000 """
"1.4 HDi Fever	,""2007	"",""172.350	"",""Siyah	"",""İzmir"",""51.500 """
"1.4 X-Line	,""2004	"",""260.000	"",""Beyaz	"",""Aydın"",""38.500 """
"1.4 X-Design	,""2004	"",""262.000	"",""Gümüş Gri	"",""Kayseri"",""35.500 """
"1.6 1.6 CC	,""2002	"",""277.000	"",""Siyah	"",""Malatya"",""37.750 """
"1.4 X-Design	,""2006	"",""114.850	"",""Mavi	"",""İstanbul"",""59.500 """
"1.6 1.6 CC	,""2005	"",""131.000	"",""Yeşil	"",""Bolu"",""57.000 """
"1.4 HDi X-Design	,""2005	"",""265.000	"",""Siyah	"",""Ordu"",""34.750 """
"1.4 Comfort	,""2007	"",""185.000	"",""Beyaz	"",""Kahramanmaraş"",""43.500 """
"1.4 XR	,""2000	"",""68.000	"",""Beyaz	"",""Bursa"",""53.900 """
"1.4 X-Line	,""2004	"",""250.000	"",""Gümüş Gri	"",""Tokat"",""53.500 """
"1.4 X-Line	,""2005	"",""216.000	"",""Gümüş Gri	"",""Kahramanmaraş"",""43.500 """
"1.4 Fever	,""2006	"",""133.000	"",""Gümüş Gri	"",""Samsun"",""59.900 """
"1.4 X-Line	,""2005	"",""165.000	"",""Gri	"",""İstanbul"",""50.950 """
"1.4 HDi Feline	,""2006	"",""200.000	"",""Beyaz	"",""İzmir"",""37.000 """
"1.6 XT	,""1999	"",""230.000	"",""Beyaz	"",""Ankara"",""38.500 """
"1.4 X-Design	,""2006	"",""157.500	"",""Siyah	"",""İstanbul"",""41.500 """
"1.4 HDi Comfort	,""2006	"",""266.000	"",""Beyaz	"",""Kahramanmaraş"",""35.000 """
"1.4 HDi Comfort	,""2010	"",""156.000	"",""Beyaz	"",""Samsun"",""46.000 """
"1.4 XR	,""1999	"",""200.000	"",""Mavi	"",""Aydın"",""35.999 """
"2.0 GTI	,""2001	"",""181.000	"",""Gri	"",""İstanbul"",""45.750 """
"1.4 X-Design	,""2005	"",""199.000	"",""Mavi	"",""Aydın"",""43.000 """
"1.4 HDi X-Line	,""2005	"",""219.000	"",""Siyah	"",""Kocaeli"",""45.500 """
"1.4 HDi X-Design	,""2006	"",""29.800	"",""Kırmızı	"",""Ordu"",""37.500 """
"1.4 HDi X-Line	,""2004	"",""228.000	"",""Gri	"",""Ankara"",""48.500 """
"1.6 XS	,""2000	"",""171.000	"",""Kırmızı	"",""Tekirdağ"",""46.000 """
"1.4 HDi Comfort	,""2006	"",""300.000	"",""Beyaz	"",""İstanbul"",""25.900 """
"1.4 HDi X-Design	,""2006	"",""320.000	"",""Beyaz	"",""Kocaeli"",""32.000 """
"1.4 X-Line	,""2004	"",""216.000	"",""Kırmızı	"",""İstanbul"",""51.500 """
"1.6 XS	,""2001	"",""155.000	"",""Bordo	"",""Çanakkale"",""30.250 """
"1.4 HDi Look	,""2004	"",""136.000	"",""Gümüş Gri	"",""İstanbul"",""47.000 """
"1.4 Comfort	,""2010	"",""97.000	"",""Siyah	"",""Kütahya"",""59.250 """
"1.4 Comfort	,""2008	"",""105.100	"",""Gri	"",""Ankara"",""42.000 """
"1.4 X-Line	,""2004	"",""220.000	"",""Bej	"",""Ankara"",""43.950 """
"1.4 XR	,""2000	"",""190.000	"",""Kırmızı	"",""Denizli"",""42.500 """
"1.4 XR	,""2003	"",""279.841	"",""Gri	"",""Kocaeli"",""40.000 """
"1.4 Pop Art	,""2005	"",""208.000	"",""Siyah	"",""İzmir"",""48.000 """
"1.4 HDi X-Line	,""2004	"",""197.900	"",""Beyaz	"",""Çanakkale"",""34.750 """
"1.4 XR	,""2000	"",""214.000	"",""Yeşil	"",""Balıkesir"",""39.750 """
"1.6 Roland Garros	,""2001	"",""250.000	"",""Yeşil	"",""Eskişehir"",""48.000 """
"1.4 HDi Feline	,""2007	"",""269.000	"",""Gümüş Gri	"",""İstanbul"",""38.500 """
"2.0 GTI	,""2001	"",""231.000	"",""Gri	"",""Samsun"",""36.750 """
"2.0 GTI	,""2000	"",""200.000	"",""Mavi	"",""Samsun"",""30.000 """
"1.4 Fever	,""2006	"",""170.000	"",""Siyah	"",""İstanbul"",""57.000 """
"1.4 HDi X-Line	,""2007	"",""253.000	"",""Gümüş Gri	"",""Adana"",""43.000 """
"1.4 XR	,""1999	"",""143.750	"",""Gümüş Gri	"",""Trabzon"",""45.000 """
"1.4 XR	,""2001	"",""188.000	"",""Mavi	"",""Denizli"",""44.500 """
"1.4 Color Line	,""2001	"",""167.000	"",""Füme	"",""İstanbul"",""36.500 """
"1.4 XT	,""2005	"",""138.000	"",""Lacivert	"",""İstanbul"",""38.750 """
"1.6 XT	,""2004	"",""166.000	"",""Kırmızı	"",""Manisa"",""52.500 """
"1.4 HDi X-Design	,""2006	"",""188.000	"",""Gri	"",""Antalya"",""48.000 """
"1.6 XT	,""2001	"",""165.000	"",""Lacivert	"",""İstanbul"",""36.900 """
"1.4 HDi X-Line	,""2004	"",""180.000	"",""Gümüş Gri	"",""İstanbul"",""43.000 """
"1.4 X-Design	,""2006	"",""222.000	"",""Beyaz	"",""Ankara"",""39.750 """
"1.4 XT	,""2003	"",""139.000	"",""Gri	"",""Sinop"",""49.950 """
"1.4 Feline	,""2007	"",""100.000	"",""Mavi	"",""İstanbul"",""62.000 """
"1.4 HDi X-Line	,""2004	"",""205.000	"",""Gümüş Gri	"",""İstanbul"",""40.000 """
"1.4 XR	,""1999	"",""209.000	"",""Beyaz	"",""İzmir"",""35.000 """
"1.4 X-Design	,""2006	"",""217.000	"",""Beyaz	"",""Gaziantep"",""36.000 """
"1.4 HDi Generation	,""2009	"",""200.000	"",""Beyaz	"",""İzmir"",""47.750 """
"1.6 XS	,""2000	"",""230.000	"",""Mavi	"",""Muğla"",""32.750 """
"1.4 Comfort	,""2010	"",""89.000	"",""Gri	"",""Erzurum"",""52.000 """
"1.4 XR	,""2000	"",""260.000	"",""Kırmızı	"",""Bursa"",""35.500 """
"1.4 X-Design	,""2006	"",""145.000	"",""Siyah	"",""İstanbul"",""62.000 """
"1.4 X-Line	,""2007	"",""185.000	"",""Mavi	"",""Diyarbakır"",""45.000 """
"1.4 HDi Fever	,""2007	"",""229.000	"",""Kırmızı	"",""İzmir"",""52.500 """
"1.6 XS	,""2000	"",""315.000	"",""Gümüş Gri	"",""Kütahya"",""35.000 """
"1.4 XR	,""2000	"",""210.000	"",""Beyaz	"",""Ankara"",""42.250 """
"1.4 HDi Comfort	,""2004	"",""306.000	"",""Beyaz	"",""Antalya"",""25.000 """
"1.6 Quicksilver	,""2004	"",""270.000	"",""Gri	"",""Çorum"",""43.900 """
"1.4 Desire	,""2004	"",""217.000	"",""Sarı	"",""Konya"",""48.250 """
"1.4 Feline	,""2006	"",""174.000	"",""Beyaz	"",""Giresun"",""58.750 """
"1.4 Look	,""2004	"",""96.000	"",""Gümüş Gri	"",""Kırklareli"",""48.900 """
"1.4 XR	,""2000	"",""170.000	"",""Mavi	"",""İstanbul"",""42.000 """
"1.4 XR	,""2001	"",""141.000	"",""Turuncu	"",""Şanlıurfa"",""44.000 """
"1.4 HDi Desire	,""2004	"",""252.000	"",""Mavi	"",""İstanbul"",""39.950 """
"1.6 XT	,""2004	"",""153.000	"",""Gümüş Gri	"",""İzmir"",""43.500 """
"1.6 XS	,""2003	"",""206.000	"",""Mavi	"",""Kocaeli"",""45.750 """
"1.4 XR	,""2001	"",""170.000	"",""Beyaz	"",""Balıkesir"",""44.900 """
"1.4 X-Line	,""2004	"",""135.000	"",""Gri	"",""Rize"",""52.000 """
"1.4 HDi X-Design	,""2004	"",""275.000	"",""Gri	"",""Ankara"",""40.000 """
"1.4 Executive	,""2008	"",""150.000	"",""Gri	"",""Bursa"",""40.000 """
"1.4 HDi Desire	,""2005	"",""353.000	"",""Beyaz	"",""İstanbul"",""23.500 """
"1.4 Fever	,""2007	"",""82.000	"",""Gümüş Gri	"",""Osmaniye"",""66.750 """
"1.4 HDi X-Line	,""2003	"",""215.000	"",""Gri	"",""Konya"",""40.000 """
"1.4 Color Line	,""2001	"",""31.000	"",""Kırmızı	"",""Ankara"",""65.000 """
"1.4 Fever	,""2007	"",""65.000	"",""Siyah	"",""İstanbul"",""59.900 """
"1.6 XT	,""2000	"",""230	"",""Kırmızı	"",""İstanbul"",""44.500 """
"1.4 HDi Desire	,""2004	"",""252.000	"",""Gri	"",""Karabük"",""38.500 """
"1.6 XT	,""2001	"",""280.000	"",""Bordo	"",""Aydın"",""40.000 """
"1.4 XR	,""2002	"",""205.000	"",""Siyah	"",""Ankara"",""32.900 """
"1.4 XR	,""2000	"",""195.000	"",""Yeşil	"",""Kocaeli"",""35.000 """
"1.4 HDi X-Line	,""2003	"",""319.000	"",""Gümüş Gri	"",""İzmir"",""40.750 """
"1.4 HDi X-Line	,""2003	"",""275.500	"",""Gri	"",""İzmir"",""35.500 """
"1.4 X-Line	,""2004	"",""228.000	"",""Kırmızı	"",""Bursa"",""48.000 """
"1.4 HDi X-Line	,""2004	"",""340.000	"",""Beyaz	"",""Osmaniye"",""39.500 """
"1.4 Feline	,""2005	"",""107.000	"",""Gümüş Gri	"",""Çanakkale"",""54.500 """
"1.4 X-Design	,""2006	"",""134.000	"",""Siyah	"",""İstanbul"",""54.750 """
"1.4 HDi X-Line	,""2002	"",""240.000	"",""Kırmızı	"",""Sivas"",""35.700 """
"1.4 XR	,""2000	"",""161.000	"",""Gümüş Gri	"",""İstanbul"",""49.500 """
"1.6 XS	,""2001	"",""205.000	"",""Gri	"",""İstanbul"",""44.500 """
"1.4 HDi Comfort	,""2011	"",""215.000	"",""Siyah	"",""Gaziantep"",""47.500 """
"1.4 X-Line	,""2004	"",""171.200	"",""Sarı	"",""İzmir"",""57.500 """
"1.4 XT	,""2004	"",""140.000	"",""Lacivert	"",""Diyarbakır"",""45.000 """
"1.4 Generation	,""2009	"",""153.000	"",""Siyah	"",""İzmir"",""56.000 """
"1.4 HDi X-Design	,""2006	"",""220.444	"",""Beyaz	"",""İzmir"",""36.000 """
"1.4 X-Design	,""2006	"",""58.000	"",""Gri	"",""Kocaeli"",""71.000 """
"1.4 HDi X-Line	,""2003	"",""223.000	"",""Beyaz	"",""Antalya"",""36.900 """
"1.6 Roland Garros	,""2001	"",""233.909	"",""Yeşil	"",""Rize"",""37.000 """
"1.4 X-Line	,""2005	"",""131.000	"",""Mavi	"",""İstanbul"",""58.000 """
"1.6 HDi CC	,""2006	"",""184.000	"",""Beyaz	"",""Ankara"",""35.000 """
"1.4 HDi X-Line	,""2003	"",""230.000	"",""Kırmızı	"",""Konya"",""43.000 """
"1.4 Desire	,""2004	"",""170.000	"",""Gri	"",""İstanbul"",""47.750 """
"1.4 X-Line	,""2005	"",""178.000	"",""Beyaz	"",""Giresun"",""57.000 """
"1.4 HDi X-Line	,""2004	"",""248.000	"",""Gri	"",""Trabzon"",""38.500 """
"1.4 HDi X-Line	,""2003	"",""182.000	"",""Mavi	"",""Uşak"",""28.750 """
"1.4 HDi X-Line	,""2004	"",""257.000	"",""Mavi	"",""İstanbul"",""34.500 """
"1.4 Color Line	,""2002	"",""190.000	"",""Mavi	"",""İstanbul"",""35.000 """
"1.4 Fever	,""2007	"",""108.000	"",""Gri	"",""Bursa"",""55.000 """
"1.4 XT	,""2005	"",""223.000	"",""Gri	"",""Mersin"",""48.500 """
"1.4 Desire	,""2004	"",""290.000	"",""Şampanya	"",""Manisa"",""37.500 """
"1.6 Roland Garros	,""2000	"",""221	"",""Yeşil	"",""Adana"",""38.750 """
"1.4 HDi X-Line	,""2004	"",""163.000	"",""Beyaz	"",""İstanbul"",""53.500 """
"1.4 HDi X-Line	,""2005	"",""217.500	"",""Beyaz	"",""Bursa"",""42.000 """
"1.4 HDi X-Line	,""2006	"",""226.000	"",""Mavi	"",""İzmir"",""40.000 """
"1.4 X-Design	,""2006	"",""218.000	"",""Siyah	"",""Kahramanmaraş"",""45.000 """
"1.4 XT	,""2002	"",""120.000	"",""Kırmızı	"",""İstanbul"",""48.000 """
"1.4 HDi XT	,""2004	"",""235.000	"",""Gri	"",""Bursa"",""40.000 """
"1.4 XT	,""2005	"",""108.540	"",""Gümüş Gri	"",""Bursa"",""44.000 """
"1.4 Comfort	,""2009	"",""102.000	"",""Siyah	"",""Ankara"",""52.000 """
"1.4 XT	,""2003	"",""149.000	"",""Kırmızı	"",""İstanbul"",""45.900 """
"1.4 HDi X-Design	,""2006	"",""231.000	"",""Beyaz	"",""Mersin"","""""
"1.4 X-Line	,""2005	"",""148.000	"",""Gri	"",""Bursa"","""""
"1.4 XT	,""2005	"",""198.000	"",""Gümüş Gri	"",""Bursa"","""""
"1.4 XR	,""2000	"",""113.000	"",""Mavi	"",""Bilecik"","""""
"1.4 XR	,""2000	"",""233	"",""Gri	"",""İzmir"","""""
"1.4 HDi X-Design	,""2005	"",""158.000	"",""Kırmızı	"",""Kocaeli"","""""
"1.6 XS	,""2000	"",""137.000	"",""Sarı	"",""İstanbul"","""""
"1.4 HDi X-Line	,""2004	"",""301.000	"",""Kırmızı	"",""Adana"","""""
"1.4 X-Design	,""2004	"",""130.000	"",""Gri	"",""Mersin"","""""
"1.4 X-Line	,""2005	"",""226.000	"",""Mavi	"",""Antalya"","""""
"1.4 XR	,""2000	"",""166.000	"",""Gümüş Gri	"",""Manisa"","""""
